no,id,item,generator,condition,assertion,judge_reason,p2_reason,auditor_verdict,auditor_note
P4-01,PR_gem_precise_H01_s2#3,H01,gemini-3.8-flash,precise,await expect(page).toHaveURL(/#\/editor\/.+/),驗收要求與 Gherkin 僅描述在該文章頁點選編輯並修改送出，未要求驗證編輯頁的 URL 格式。,公開契約中規定的編輯文章路由為 `/editor/:slug`，未包含或測試帶有 hash 路由格式（/#/editor/.+）的可觀測行為。,,
P4-02,PR_gem_precise_H02_s2#2,H02,gemini-3.8-flash,precise,await expect(page.getByText(authorCommentBody)).toBeVisible(),驗收要求與 Gherkin 僅要求訪客看得到文章且不能留言，未提及訪客是否應看見已留下的留言內容。,公開材料中雖有說明文章頁包含留言區以及未登入不能留言，但未規定或測試未登入訪客瀏覽文章頁時必須驗證既有留言內容可見。,,
P4-03,PR_gem_precise_H03_s1#2,H03,gemini-3.8-flash,precise,await expect(articlePreviewHeadings.nth(i)).toHaveText(expectedPage1Titles[i]),驗收要求與 Gherkin 僅要求每頁文章數量符合分頁設定，並未要求依特定順序逐一比對第一頁的文章標題。,公開契約中僅驗證標籤篩選分頁的文章數量（如每頁10篇、第二頁5篇）及分頁網址，並未斷言特定順序或特定標題清單內容。,,
P4-04,PR_gem_precise_H03_s2#1,H03,gemini-3.8-flash,precise,"await expect(page.getByRole('button', { name: `# ${uniqueTag}` })).toBeVisible()",驗收要求與 Gherkin 僅要求篩選文章列表，未提及篩選後介面上需出現標籤分頁按鈕（# tag）。,公開契約與 E2E 規格中，標籤分頁的導覽項目為 a.nav-link（例如 `.nav-link:has-text(...)`），從未規定或測試過需存在一個名稱為 `# ${uniqueTag}` 的 button 元素。,,
P4-05,PR_gem_precise_H03_s2#5,H03,gemini-3.8-flash,precise,"await expect(page.getByRole('button', { name: 'Page 2 is your current page' })).toBeVisible()",驗收要求與 Gherkin 僅要求第二頁顯示接續文章與網址反映頁碼，並未規範分頁控制項的無障礙名稱或目前選中狀態標籤。,公開契約中僅規定目前頁面使用 CSS class active（例如 .page-item.active），完全未提及或測試名為 'Page 2 is your current page' 的按鈕或無障礙名稱。,,
P4-06,PR_gem_precise_S02_s1#1,S02,gemini-3.8-flash,precise,await expect(errorMessage).toContainText('email has already been taken'),驗收要求與 Gherkin 僅要求「顯示錯誤」而未具體指定錯誤訊息字樣，但此字樣符合 Conduit 官方規格。,公開契約中僅在 API 測試與範本中定義後端回傳 409 與 error-messages 容器，並未規定前端畫面錯誤訊息的具體文字必須為 'email has already been taken'。,,
P4-07,PR_gem_precise_S02_s2#2,S02,gemini-3.8-flash,precise,await expect(page).toHaveURL(/#\/register/),驗收要求與 Gherkin 僅要求『使用者未登入』與『註冊失敗並顯示錯誤』，未規定頁面 URL 必須停留或導向 /#/register。,公開材料中定義了註冊路由為 '/register' 且錯誤時停留在 '/register'（如 error-handling.spec.ts 第 64 行），但未要求或測試 hash 路由模式 '/#/register'。,,
P4-08,PR_gem_precise_S12_s1#1,S12,gemini-3.8-flash,precise,"await expect(page.getByRole('button', { name: 'Page 2 is your current page' })).toBeVisible()",驗收要求與 Gherkin 僅要求顯示接續的文章，並未規定分頁按鈕必須呈現當前頁面狀態 Accessibility 標籤。,公開契約中要求分頁當前頁以 CSS class 'active' 表示，並未規定或測試名為 'Page 2 is your current page' 的按鈕或無障礙名稱。,,
P4-09,PR_gem_precise_S12_s2#2,S12,gemini-3.8-flash,precise,"await expect(page.getByRole('button', { name: 'Page 2 is your current page' })).toBeVisible()",驗收要求與 Gherkin 僅要求顯示接續的文章，並未主張分頁按鈕需呈現特定無障礙狀態文字（'Page 2 is your current page'）。,公開材料中對於分頁當前頁面的樣式僅規定使用 CSS 類別 `.page-item.active`，並未定義或測試包含 'Page 2 is your current page' 的 accessible name 或 aria-label 按鈕。,,
P4-10,PR_gem_precise_S12_s3#2,S12,gemini-3.8-flash,precise,await expect(page2CurrentButton).toBeVisible(),驗收要求與 Gherkin 僅主張換頁後『顯示的是接續的文章』，未提及分頁按鈕自身選中狀態的可見性。,公開材料中分頁元件僅定義了 .pagination、.page-item.active 或 ?page=N，並無任何關於特定無障礙名稱（如 'Page 2 is your current page'）或按鈕文字角色的規範或測試。,,
P4-11,PR_gem_terse_H01_s1#3,H01,gemini-3.8-flash,concise,await expect(titleInput).toHaveValue(title1),驗收要求與 Gherkin 僅要求點選編輯並修改標題送出，未明文規定進入編輯頁時輸入框初始值必須等於原標題。,公開契約中僅在編輯頁面載入時檢查 title 輸入框不為空（not.toHaveValue('')）或特定字串，並未規定或斷言編輯文章時 title 欄位必須精確預先填入先前的標題值。,,
P4-12,PR_gem_terse_H02_s1#6,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: 'Post Comment' })).toHaveCount(0)",驗收要求與 Gherkin 僅抽象提及不同身分可做的操作不一樣，未具體規定未登入訪客看不到 'Post Comment' 按鈕，但此行為可由 Conduit 公開規格導出。,公開契約中僅測試未登入訪客看不到留言輸入框 textarea 或看到登入連結，未明確陳述或斷言不可看見 Post Comment 按鈕。,,
P4-13,PR_gem_terse_H02_s3#0,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),驗收要求與 Gherkin 僅抽象陳述『不同身分看到的東西不一樣』，並未明確指定訪客能看見作者留言，但符合 RealWorld 公開規格。,公開材料中未明確要求或測試未登入訪客瀏覽文章頁時必須可見作者先前留下的留言內容。,,
P4-14,PR_gem_terse_H02_s3#5,H02,gemini-3.8-flash,concise,await expect(page.getByText('to add comments on this article.')).toBeVisible(),驗收要求與 Gherkin 僅抽象提及不同身分看到與可操作的內容不同，未具體規定訪客應看到提示登入留言的文案，但此為 RealWorld 規範中的標準行為。,公開材料（包含 templates.md、SELECTORS.md 及 e2e 測試）均未提及或要求 'to add comments on this article.' 這段文字。,,
