no,id,item,generator,condition,assertion,file,line_start,line_end,commit,quote,why,auditor_verdict,auditor_note
P2-001,PR_gem_precise_H02_s1#4,H02,gemini-3.8-flash,precise,"await expect(page.getByRole('link', { name: 'Sign in' }).first()).toBeVisible()",specs/e2e/comments.spec.ts,108,112,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();",E2E 測試在未登入訪客查看文章頁時，明確斷言並驗證應顯示前往登入的連結（Sign in）而不是留言輸入框。,,
P2-002,PR_gem_precise_H02_s2#5,H02,gemini-3.8-flash,precise,"await expect(page.getByRole('link', { name: 'Sign in' })).toBeVisible()",specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();
  });",E2E 測試在未登入訪客造訪文章頁時，明確斷言畫面應顯示導向登入的 Sign in 連結而非留言表單。,,
P2-003,PR_gem_precise_H02_s2#9,H02,gemini-3.8-flash,precise,await expect(page.getByText(readerCommentBody)).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 測試明確驗證了在文章頁面新增留言後，該留言內容在頁面上必須為可見（toBeVisible）。,,
P2-004,PR_gem_precise_H03_s3#3,H03,gemini-3.8-flash,precise,await expect(articlesLocator).toHaveCount(5),specs/e2e/url-navigation.spec.ts,266,268,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Second page should have 5 articles (15 - 10 = 5)
    const articlesOnPage2 = await page.locator('.article-preview').count();
    expect(articlesOnPage2).toBe(5);",E2E 測試明確驗證了在建立 15 篇帶有該標籤的文章後，點選第 2 頁時文章列表剛好顯示剩餘的 5 篇。,,
P2-005,PR_gem_precise_S02_s3#1,S02,gemini-3.8-flash,precise,await expect(errorMessage).toContainText('email'),specs/e2e/error-handling.spec.ts,50,64,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();",公開規格中模板與 E2E 測試皆明示註冊時 email 重複錯誤會以「That email is already taken」或包含 email 的錯誤訊息呈現在 .error-messages 中。,,
P2-006,PR_gem_precise_S07_s2#0,S07,gemini-3.8-flash,precise,await expect(page).toHaveURL(`${UI}/#/`),specs/e2e/articles.spec.ts,76,81,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Delete the article
    await deleteArticle(page);

    // Should be redirected to home
    await expect(page).toHaveURL('/');",官方 E2E 測試在刪除文章後明確斷言應重定向至首頁（'/'）。,,
P2-007,PR_gem_precise_S07_s3#0,S07,gemini-3.8-flash,precise,await expect(page).toHaveURL(`${UI}/#/`),specs/e2e/articles.spec.ts,79,80,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should be redirected to home
    await expect(page).toHaveURL('/');",官方 E2E 測試在刪除文章後明確斷言應重定向回首頁 URL ('/')。,,
P2-008,PR_gem_precise_S09_s3#1,S09,gemini-3.8-flash,precise,await expect(cardB).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",官方 E2E 測試明確要求使用者新增留言後，該留言卡片內容在文章頁面中必須可見。,,
P2-009,PR_gem_terse_H01_s3#3,H01,gemini-3.8-flash,concise,await expect(page.getByPlaceholder('Article Title')).toHaveValue(originalTitle),specs/e2e/articles.spec.ts,246,248,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for the form to be populated
    const titleInput = page.locator('input[name=""title""]');
    await expect(titleInput).not.toHaveValue('', { timeout: 10000 });",官方測試在進入文章編輯頁後，明確檢查了標題輸入框（title input）已被填入既有文章標題而非空值。,,
P2-010,PR_gem_terse_H02_s1#0,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('heading', { name: article.title })).toBeVisible()",specs/e2e/articles.spec.ts,41,41,ebbcdeb8d55b42a3a613c787560498b8ef10003f,    await expect(page.locator('h1')).toHaveText(article.title);,E2E 測試在文章頁面直接斷言了表示文章標題的 heading (h1) 必須可見且包含該文章標題。,,
P2-011,PR_gem_terse_H02_s1#1,H02,gemini-3.8-flash,concise,await expect(page.getByText(article.body)).toBeVisible(),specs/e2e/articles.spec.ts,40,42,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should show article content
    await expect(page.locator('h1')).toHaveText(article.title);
    await expect(page.locator('.article-content p')).toContainText(article.body);",E2E 測試明確斷言在文章頁上應顯示文章內容（article.body）。,,
P2-012,PR_gem_terse_H02_s1#2,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 測試明確驗證了在文章頁面建立留言後，該留言文字內容應該在畫面上可見。,,
P2-013,PR_gem_terse_H02_s1#3,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Delete Article/i })).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",契約明確規定文章頁上的「Delete article」按鈕僅向文章作者顯示，因此訪客（未登入使用者）瀏覽時不應存在該按鈕。,,
P2-014,PR_gem_terse_H02_s1#4,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: /Edit Article/i })).toHaveCount(0)",specs/e2e/articles.spec.ts,282,305,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();

    await context2.close();
  });",E2E 測試明確規範並斷言非文章作者造訪文章頁時，不可看到 Edit Article 連結/按鈕。,,
P2-015,PR_gem_terse_H02_s1#5,H02,gemini-3.8-flash,concise,await expect(page.getByPlaceholder('Write a comment...')).toHaveCount(0),specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();","E2E 測試中明確測試了未登入使用者訪問文章頁時，留言輸入框 textarea[placeholder=""Write a comment...""] 不可見。",,
P2-016,PR_gem_terse_H02_s1#7,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: 'Sign in' })).toBeVisible()",specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();
  });",E2E 測試明確驗證未登入訪客造訪文章頁時，留言區會顯示 Sign in 連結而非留言表單。,,
P2-017,PR_gem_terse_H02_s1#8,H02,gemini-3.8-flash,concise,await expect(page.locator('.mod-options')).toHaveCount(0),docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規定留言刪除按鈕（即 mod-options 內的刪除按鈕）僅顯示給該留言的作者，因此未登入訪客不應看到任何刪除按鈕。,,
P2-018,PR_gem_terse_H02_s1#9,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('heading', { name: article.title })).toBeVisible()",specs/e2e/articles.spec.ts,297,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試在 line 40-41 明確檢驗了文章頁顯示標題 `await expect(page.locator('h1')).toHaveText(article.title);`，且在 line 297-302 測試第二位登入的使用者造訪該文章頁時的呈現。,,
P2-019,PR_gem_terse_H02_s1#10,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,133,138,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Now add our own comment
    const commentText = `Comment by logged in user ${Date.now()}`;
    await addComment(page, commentText);
    // Verify the delete button IS visible for OUR comment
    const ownComment = page.locator('.card', { has: page.locator(`text=""${commentText}""`) });
    await expect(ownComment.locator('span.mod-options i.ion-trash-a')).toBeVisible();",測試明確驗證其他登入使用者開啟含既有留言之文章頁時，留言可正常呈現並可見。,,
P2-020,PR_gem_terse_H02_s1#11,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Delete Article/i })).toHaveCount(0)",specs/e2e/articles.spec.ts,282,305,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();

    await context2.close();
  });",E2E 測試明確驗證非作者使用者造訪文章頁時，畫面上不能看到 Delete Article 按鈕。,,
P2-021,PR_gem_terse_H02_s1#12,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: /Edit Article/i })).toHaveCount(0)",specs/e2e/articles.spec.ts,297,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();",公開 E2E 測試明確斷言非作者訪問文章頁面時，不可看見 Edit Article 連結/按鈕。,,
P2-022,PR_gem_terse_H02_s1#13,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Follow/i }).first()).toBeVisible()",specs/e2e/SELECTORS.md,120,120,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"| `Follow` / `Unfollow`     | `button` | Profile, article meta    |",SELECTORS.md 明確規定在 article meta 區域中存在可見文字為 Follow / Unfollow 的 button。,,
P2-023,PR_gem_terse_H02_s1#14,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Favorite/i }).first()).toBeVisible()",specs/e2e/articles.spec.ts,169,171,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for article page to load - should see Favorite button (not Delete button)
    await page.waitForSelector('button:has-text(""Favorite"")', { timeout: 10000 });",官方 E2E 測試明確驗證非文章作者的使用者造訪文章頁時，畫面上應顯示 Favorite 按鈕而不是 Delete 按鈕。,,
P2-024,PR_gem_terse_H02_s1#15,H02,gemini-3.8-flash,concise,"await expect(authorCard.locator('i.ion-trash-a, button.btn-outline-danger, .mod-options')).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規範文章頁上的刪除留言按鈕僅顯示給留言的作者，非作者讀者不應看到刪除按鈕。,,
